gender,race/ethnicity,parental level of education,math score,reading score,writing score
female,group E,associate's degree,59,62,69
female,group E,some high school,32,34,38
male,group B,high school,36,29,27
female,group B,some high school,63,78,79
male,group D,associate's degree,67,54,63
female,group D,some high school,65,78,82
male,group D,master's degree,85,84,89
female,group C,master's degree,73,78,74
female,group A,high school,34,48,41
female,group D,bachelor's degree,93,100,100
female,group D,some high school,67,84,84
male,group D,some college,88,77,77
male,group B,high school,57,48,51
female,group D,some college,79,84,91
female,group C,bachelor's degree,67,75,72
male,group E,bachelor's degree,70,64,70
male,group D,bachelor's degree,50,42,48
female,group A,some college,69,84,82
female,group C,bachelor's degree,52,61,66
female,group C,bachelor's degree,47,62,66
female,group B,associate's degree,46,61,55
female,group E,some college,68,70,66
male,group E,bachelor's degree,100,100,100
female,group C,high school,44,61,52
female,group C,associate's degree,57,77,80
male,group B,some college,91,96,91
male,group D,high school,69,70,67
female,group C,high school,35,53,46
male,group D,high school,72,66,66
female,group B,associate's degree,54,65,65
male,group D,high school,74,70,69
male,group E,some high school,74,64,60
male,group E,associate's degree,64,56,52
female,group D,high school,65,61,71
male,group E,associate's degree,46,43,44
female,group C,some high school,48,56,51
male,group C,some college,67,74,70
male,group D,some college,62,57,62
male,group D,associate's degree,61,71,73
male,group C,bachelor's degree,70,75,74
male,group C,associate's degree,98,87,90
male,group D,some college,70,63,58
male,group A,associate's degree,67,57,53
female,group E,high school,57,58,57
male,group D,some college,85,81,85
male,group D,some high school,77,68,69
male,group C,master's degree,72,66,72
female,group D,master's degree,78,91,96
male,group C,high school,81,66,64
male,group A,some high school,61,62,61
female,group B,high school,58,68,61
female,group C,associate's degree,54,61,58
male,group B,high school,82,82,80
female,group D,some college,49,58,60
male,group B,some high school,49,50,52
female,group E,high school,57,75,73
male,group E,high school,94,73,71
female,group D,some college,75,77,83
female,group E,some high school,74,74,72
male,group C,high school,58,52,54
female,group C,some college,62,69,69
male,group E,associate's degree,72,57,62
male,group C,some college,84,87,81
female,group D,master's degree,92,100,100
female,group D,high school,45,63,59
male,group C,high school,75,81,71
female,group A,some college,56,58,64
female,group D,some high school,48,54,53
female,group E,associate's degree,100,100,100
female,group C,some high school,65,76,75
male,group D,some college,72,57,58
female,group D,some college,62,70,72
male,group A,some high school,66,68,64
male,group C,some college,63,63,60
female,group E,associate's degree,68,76,67
female,group B,bachelor's degree,75,84,80
female,group D,bachelor's degree,89,100,100
male,group C,some high school,78,72,69
female,group A,high school,53,50,60
female,group D,some college,49,65,61
female,group A,some college,54,63,67
female,group C,some college,64,82,77
male,group B,some college,60,62,60
male,group C,associate's degree,62,65,58
male,group D,high school,55,41,48
female,group C,associate's degree,91,95,94
female,group B,high school,8,24,23
male,group D,some high school,81,78,78
male,group B,some high school,79,85,86
female,group A,some college,78,87,91
female,group C,some high school,74,75,82
male,group A,high school,57,51,54
female,group C,associate's degree,40,59,51
male,group E,some high school,81,75,76
female,group A,some high school,44,45,45
female,group D,some college,67,86,83
male,group E,high school,86,81,75
female,group B,some high school,65,82,78
female,group D,associate's degree,55,76,76
female,group D,bachelor's degree,62,72,74
male,group A,high school,63,63,62
female,group E,master's degree,88,99,95
male,group C,high school,62,55,55
female,group C,high school,59,71,65
female,group D,some college,68,78,77
female,group D,some college,77,86,86
